시리즈명,과목,영역,연계여부,연도,정가,전년 응시자수,올해 응시자수,전년난이도,Top강사여부,ebs 수강후기 수,지식인 게시글수,순출고상용로그
수능특강,국어,국어,연계,2014,7500,606074,594134,2,0,1784,645,5.518092602
수능특강,국어,국어,연계,2014,7500,606074,594134,2,1,6007,720,5.625553202
수능특강,영어,영어,연계,2014,7500,596478,580638,5,1,13027,5666,5.955828645
수능특강,수학나형,수학,연계,2014,5000,412740,404083,4,0,2736,246,5.540942311
수능특강,수학가형,수학,연계,2014,5000,160174,154297,3,0,366,227,5.38724385
수능특강,수학가형,수학,연계,2014,5300,160174,154297,3,0,346,502,5.36572753
수능특강,수학나형,수학,연계,2014,5600,412740,404083,4,0,1810,524,5.48896789
수능특강,수학가형,수학,연계,2014,5600,160174,154297,3,1,379,423,5.338265203
수능특강,수학가형,수학,연계,2014,5600,160174,154297,3,0,357,419,5.320823175
수능특강,생활과윤리,사탐,연계,2014,6200,137054,167524,4,1,3370,433,5.233544347
수능특강,윤리와사상,사탐,연계,2014,6200,71114,57025,3,1,1016,261,4.997596053
수능특강,한국사,사탐,연계,2014,6500,42529,38205,1,0,606,569,4.926409335
수능특강,한국지리,사탐,연계,2014,6000,112459,99137,3,1,3873,422,5.263711797
수능특강,동아시아사,사탐,연계,2014,6600,36982,35637,4,1,833,144,4.859402518
수능특강,사회문화,사탐,연계,2014,6100,155249,160233,3,1,2118,535,5.358524934
수능특강,법과정치,사탐,연계,2014,6400,38203,31056,1,1,2768,226,4.880052911
수능특강,경제,사탐,연계,2014,6600,13420,9089,1,1,156,297,4.548684171
수능특강,세계사,사탐,연계,2014,6700,28772,26932,3,0,2018,247,4.727557522
수능특강,세계지리,사탐,연계,2014,6700,37684,39580,2,1,2686,209,4.819247725
수능특강,물리Ⅰ,과탐,연계,2014,6200,52692,52032,2,1,1562,220,5.129995852
수능특강,화학Ⅰ,과탐,연계,2014,6200,136761,135360,3,1,4253,325,5.384833507
수능특강,생명과학Ⅰ,과탐,연계,2014,6200,137375,139814,4,1,1580,167,5.347573932
수능특강,지구과학Ⅰ,과탐,연계,2014,6600,78836,84144,4,1,3474,155,5.148596486
수능특강,물리Ⅱ,과탐,연계,2014,7300,5758,3953,2,1,1207,66,4.373812781
수능특강,화학Ⅱ,과탐,연계,2014,7300,10200,5453,3,1,939,66,4.660979252
수능특강,생명과학Ⅱ,과탐,연계,2014,7300,39676,30933,3,1,437,66,4.847091214
수능특강,지구과학Ⅱ,과탐,연계,2014,7300,10442,8898,2,1,1037,57,4.292256071
수능특강,일본어,제2외,연계,2014,5200,7884,7174,1,0,113,92,4.017784353
수능특강,중국어,제2외,연계,2014,5200,5782,4952,4,0,100,64,3.999695887
수능특강,한문,제2외,연계,2014,5200,6329,5221,2,0,88,215,3.908753019
수능완성,국어,국어,연계,2014,9000,606074,594134,2,0,329,175,5.298276544
수능완성,국어,국어,연계,2014,9000,606074,594134,2,1,1109,1419,5.428920027
수능완성,영어,영어,연계,2014,9700,596478,580638,5,0,3106,600,5.719536782
수능완성,수학나형,수학,연계,2014,8500,412740,404083,4,0,905,15,5.31312449
수능완성,수학가형,수학,연계,2014,10500,160174,154297,3,0,46,17,5.116431733
수능완성,수학가형,수학,연계,2014,7500,160174,154297,3,0,72,254,5.131657153
수능완성,수학나형,수학,연계,2014,7500,412740,404083,4,0,627,346,5.318403538
수능완성,수학가형,수학,연계,2014,5700,160174,154297,3,0,51,346,5.114360743
수능완성,수학가형,수학,연계,2014,5700,160174,154297,3,0,103,226,5.115497347
수능완성,생활과윤리,사탐,연계,2014,7500,137054,167524,4,1,727,188,5.024555445
수능완성,윤리와사상,사탐,연계,2014,7500,71114,57025,3,1,191,134,4.59000542
수능완성,한국사,사탐,연계,2014,8800,42529,38205,1,0,177,149,4.478595351
수능완성,한국지리,사탐,연계,2014,7500,112459,99137,3,1,488,126,4.887065644
수능완성,동아시아사,사탐,연계,2014,8000,36982,35637,4,1,238,62,4.436242181
수능완성,사회문화,사탐,연계,2014,7700,155249,160233,3,1,503,164,5.06697781
수능완성,법과정치,사탐,연계,2014,8200,38203,31056,1,1,617,100,4.374656713
수능완성,경제,사탐,연계,2014,8800,13420,9089,1,1,22,322,3.859078225
수능완성,세계사,사탐,연계,2014,8000,28772,26932,3,0,232,82,4.265218888
수능완성,세계지리,사탐,연계,2014,8000,37684,39580,2,1,1148,77,4.475307914
수능완성,물리Ⅰ,과탐,연계,2014,5300,52692,52032,2,1,134,144,4.717362561
수능완성,화학Ⅰ,과탐,연계,2014,5300,136761,135360,3,0,320,105,5.143701629
수능완성,생명과학Ⅰ,과탐,연계,2014,5100,137375,139814,4,1,317,113,5.104073789
수능완성,지구과학Ⅰ,과탐,연계,2014,5100,78836,84144,4,0,138,58,4.842783921
수능완성,물리Ⅱ,과탐,연계,2014,6400,5758,3953,2,1,67,114,3.670802284
수능완성,화학Ⅱ,과탐,연계,2014,6500,10200,5453,3,0,37,77,3.845903839
수능완성,생명과학Ⅱ,과탐,연계,2014,6500,39676,30933,3,1,69,93,4.438257472
수능완성,지구과학Ⅱ,과탐,연계,2014,6500,10442,8898,2,1,72,20,3.83225337
파이널,국어,국어,비연계,2014,6500,606074,594134,2,0,6,24,4.782981153
파이널,국어,국어,비연계,2014,6500,606074,594134,2,0,47,27,4.913246781
파이널,영어,영어,비연계,2014,6500,596478,580638,5,1,94,1004,4.955384648
파이널,수학나형,수학,비연계,2014,5000,412740,404083,4,0,38,30,4.699004747
파이널,수학가형,수학,비연계,2014,5000,160174,154297,3,0,30,24,4.618403759
파이널,생활과윤리,사탐,비연계,2014,4500,137054,167524,4,1,65,27,4.533161737
파이널,윤리와사상,사탐,비연계,2014,4500,71114,57025,3,0,11,17,4.072690955
파이널,한국사,사탐,비연계,2014,4500,42529,38205,1,0,9,57,3.968949681
파이널,한국지리,사탐,비연계,2014,4500,112459,99137,3,1,24,31,4.330880288
파이널,동아시아사,사탐,비연계,2014,4500,36982,35637,4,1,28,9,3.988246723
파이널,사회문화,사탐,비연계,2014,4500,155249,160233,3,1,24,43,4.469070552
파이널,법과정치,사탐,비연계,2014,4500,38203,31056,1,0,4,11,3.853150436
파이널,경제,사탐,비연계,2014,4500,13420,9089,1,0,2,25,3.264109156
파이널,세계사,사탐,비연계,2014,4500,28772,26932,3,0,11,28,3.79021477
파이널,세계지리,사탐,비연계,2014,4500,37684,39580,2,0,4,16,3.996642991
파이널,물리Ⅰ,과탐,비연계,2014,4500,52692,52032,2,1,4,20,4.277609214
