전년 응시자수,올해 응시자수,전년난이도,Top강사여부,ebs 수강후기 수,오르비 게시글수
606074,594134,2,0,1784,645
606074,594134,2,1,6007,720
596478,580638,5,1,13027,5666
412740,404083,4,0,2736,246
160174,154297,3,0,366,227
160174,154297,3,0,346,502
412740,404083,4,0,1810,524
160174,154297,3,1,379,423
160174,154297,3,0,357,419
137054,167524,4,1,3370,433
71114,57025,3,1,1016,261
42529,38205,1,0,606,569
112459,99137,3,1,3873,422
36982,35637,4,1,833,144
155249,160233,3,1,2118,535
38203,31056,1,1,2768,226
13420,9089,1,1,156,297
28772,26932,3,0,2018,247
37684,39580,2,1,2686,209
52692,52032,2,1,1562,220
136761,135360,3,1,4253,325
137375,139814,4,1,1580,167
78836,84144,4,1,3474,155
5758,3953,2,1,1207,66
10200,5453,3,1,939,66
39676,30933,3,1,437,66
10442,8898,2,1,1037,57
7884,7174,1,0,113,92
5782,4952,4,0,100,64
6329,5221,2,0,88,215
606074,594134,2,0,329,175
606074,594134,2,1,1109,1419
596478,580638,5,0,3106,600
412740,404083,4,0,905,15
160174,154297,3,0,46,17
160174,154297,3,0,72,254
412740,404083,4,0,627,346
160174,154297,3,0,51,346
160174,154297,3,0,103,226
137054,167524,4,1,727,188
71114,57025,3,1,191,134
42529,38205,1,0,177,149
112459,99137,3,1,488,126
36982,35637,4,1,238,62
155249,160233,3,1,503,164
38203,31056,1,1,617,100
13420,9089,1,1,22,322
28772,26932,3,0,232,82
37684,39580,2,1,1148,77
52692,52032,2,1,134,144
136761,135360,3,0,320,105
137375,139814,4,1,317,113
78836,84144,4,0,138,58
5758,3953,2,1,67,114
10200,5453,3,0,37,77
39676,30933,3,1,69,93
10442,8898,2,1,72,20
606074,594134,2,0,6,24
606074,594134,2,0,47,27
596478,580638,5,1,94,1004
412740,404083,4,0,38,30
160174,154297,3,0,30,24
137054,167524,4,1,65,27
71114,57025,3,0,11,17
42529,38205,1,0,9,57
112459,99137,3,1,24,31
36982,35637,4,1,28,9
155249,160233,3,1,24,43
38203,31056,1,0,4,11
13420,9089,1,0,2,25
28772,26932,3,0,11,28
37684,39580,2,0,4,16
52692,52032,2,1,4,20
136761,135360,3,1,29,44
137375,139814,4,1,23,25
78836,84144,4,1,8,11
5758,3953,2,1,5,5
10200,5453,3,1,2,5
39676,30933,3,1,7,5
10442,8898,2,1,2,7
